"","Sum.Sq","Df","F.value","Pr..F."
"(Intercept)",19448.512370753,1,344.188453610395,1.02155905255597e-50
"gender",413.622644206958,1,7.32005284383219,0.00723566936285098
"x",298.531959297647,2,2.64162244045096,0.0730145863431306
"gender:x",129.403303855948,2,1.14505218181195,0.31968748025533
"Residuals",15878.0223998093,281,NA,NA
"(Intercept)1",2574.15762127002,1,44.9589291539578,1.10182217276438e-10
"gender1",1.48448492006719,1,0.0259272593876716,0.872193793187074
"x1",23.4366062802565,2,0.204665928895876,0.81504088171973
"gender:x1",75.4880039212931,2,0.659217561548673,0.518053957343752
"Residuals1",16088.8683335821,281,NA,NA
"(Intercept)2",24242.8792877858,1,421.925773143073,6.91001323421744e-58
"gender2",427.952382513882,1,7.44813096320465,0.00675084647215874
"x2",9.58816551649397,2,0.0834367506546284,0.919972053752578
"gender:x2",32.7187706136883,2,0.284720565234728,0.752441170616632
"Residuals2",16145.6102316788,281,NA,NA
"(Intercept)3",12934.6336660721,1,227.160540811394,5.01490177496382e-38
"gender3",371.189380981006,1,6.51889977744516,0.0112019299621819
"x3",29.3356257335945,2,0.257598969507871,0.773087446214689
"gender:x3",153.900929297131,2,1.3514189590933,0.260549887010807
"Residuals3",16000.2791293933,281,NA,NA
"(Intercept)4",23804.7115088129,1,415.95966808826,2.29515304919973e-57
"gender4",532.748862433908,1,9.30916721718578,0.00249800658263801
"x4",66.8908075483887,2,0.584419561137772,0.558105395162546
"gender:x4",28.6695261436871,2,0.250483325003977,0.778598080401933
"Residuals4",16081.183939586,281,NA,NA
"(Intercept)5",24394.493545175,1,439.969101364243,1.94724824994371e-59
"gender5",449.845895827004,1,8.11323646350289,0.0047189110298472
"x5",368.451035000409,2,3.32261603352529,0.0374803988041564
"gender:x5",142.129126540365,2,1.28169137772523,0.279184991445963
"Residuals5",15580.3047644456,281,NA,NA
"(Intercept)6",12366.7824142691,1,218.033249191083,6.4728213045566e-37
"gender6",668.814182420809,1,11.7915658587178,0.000684669900205077
"x6",109.881653736607,2,0.96863732166254,0.380863745229181
"gender:x6",252.667027637022,2,2.22733008286736,0.109716043146639
"Residuals6",15938.2381875348,281,NA,NA
