"","fit.BestModel.coefficients"
"(Intercept)",44.5539355336682
"PER3BAA",6.94606446633177
"PER2PER3AAACG",-15.9646338993597
"PER2PER3AGGCG",-4.81831138632784
"PER2PER3BAAAG",16.9094917378489
"PER2CRY1AACC",-24.2656247918813
"PER2CRY1AGGG",-9.16182074666091
"PER3BCRY2GGAA",-2.5893016343085
"CLOCK3111CRY1CCGG",4.85392405688352
"CLOCK3111CRY2TTGG",5.71168925821315
"CLOCK3111CRY2TCAG",2.66291891091062
"CLOCK3111VNTRCCAB",-7.49207768778162
"CRY1CRY2CCAA",-12.8619593079369
"CRY1VNTRCGAB",-5.17511652973021
