"","Row.names","STAI.x","std","r","Min","Max","Q25","Q50","Q75","STAI.y","groups"
"1","17",41.8,9.98498873309329,5,29,55,38,39,48,41.8,"a"
"2","18",45.1935483870968,10.3332106622838,124,23,77,36,45.5,52,45.1935483870968,"a"
"3","19",43.3947368421053,9.28809840224707,76,24,62,35.75,45.5,50,43.3947368421053,"a"
"4","20",43.8292682926829,10.3462612547345,41,25,62,36,44,50,43.8292682926829,"a"
"5","21",45.2352941176471,11.5287751288452,34,27,69,36,42,54,45.2352941176471,"a"
"6","22",43,6.70820393249937,5,35,52,38,44,46,43,"a"
"7","23",64,NA,1,64,64,64,64,64,64,"a"
"8","34",30,NA,1,30,30,30,30,30,30,"a"
"9","35",49,NA,1,49,49,49,49,49,49,"a"
"10","38",36,NA,1,36,36,36,36,36,36,"a"
"11","39",28,NA,1,28,28,28,28,28,28,"a"
"12","40",51,NA,1,51,51,51,51,51,51,"a"
"13","42",38,NA,1,38,38,38,38,38,38,"a"
"14","44",34,NA,1,34,34,34,34,34,34,"a"
"15","46",26,NA,1,26,26,26,26,26,26,"a"
"16","50",30,NA,1,30,30,30,30,30,30,"a"
"17","52",28,NA,1,28,28,28,28,28,28,"a"
"18","61",27.5,9.19238815542512,2,21,34,24.25,27.5,30.75,27.5,"a"
"19","65",30,NA,1,30,30,30,30,30,30,"a"
"20","67",26,NA,1,26,26,26,26,26,26,"a"
"21","69",41,NA,1,41,41,41,41,41,41,"a"
"22","79",26,NA,1,26,26,26,26,26,26,"a"
