"","fisher_p_z","fisher_adjusted_p","names"
"1",1,1,"PER2AA"
"2",0.54659634259997,0.949568859412497,"PER2GG"
"3",1,1,"PER3AGG"
"4",0.391318191566969,0.949568859412497,"PER3ACG"
"5",0.37157003832292,0.949568859412497,"PER3BAA"
"6",0.549750392291446,0.949568859412497,"PER3BAG"
"7",0.809895697617526,1,"PER3CGG"
"8",1,1,"PER3CGT"
"9",1,1,"CLOCK3111CC"
"10",0.8368512936945,1,"CLOCK3111TC"
"11",0.638919375991671,1,"CRY1CC"
"12",0.402117407580581,0.949568859412497,"CRY1GG"
"13",0.387855825722872,0.949568859412497,"CRY2GG"
"14",0.388473704459744,0.949568859412497,"CRY2AA"
"15",1,1,"VNTRBB"
"16",0.431362230711888,0.949568859412497,"VNTRAB"
"17",0.134921830580171,0.949568859412497,"GENDER"
"18",5.39000918323696e-05,0.00102410174481502,"AGE"
"19",0.513759244434014,0.949568859412497,"SOCIO"
