"","fisher_p_z","fisher_adjusted_p","names"
"1",0.0347086171923543,0.140239900708872,"PER2CRY2VNTRGGAGAA"
"2",0.0281272903466325,0.140239900708872,"PER2CRY1VNTRAGGGAB"
"3",0.035059975177218,0.140239900708872,"PER3AVNTRCGAA"
"4",1.0268081328587e-05,0.00020536162657174,"AGE"
"5",0.0913435317168911,0.182687063433782,"PER2CRY1AAGG"
"6",0.604988814251657,0.641030343398856,"PER2CRY1CRY2GGGGGG"
"7",0.146437918964411,0.231475762381217,"CRY1CRY2CCAA"
"8",0.0775982216849304,0.172440492633179,"PER3ACRY1VNTRCCCGAA"
"9",0.375725666265309,0.469657082831636,"PER2CRY1VNTRGGCCAA"
"10",1,1,"PER2CRY1CRY2AGCCGG"
"11",0.0597108872361353,0.151142616586973,"PER2PER3ACRY1AGCCGG"
"12",0.109144542772861,0.198444623223384,"PER2PER3AVNTRAACGAB"
"13",0.0284255581167215,0.140239900708872,"PER3ACRY2VNTRCCAGAB"
"14",0.162033033666852,0.231475762381217,"CRY1CRY2VNTRGGAGAB"
"15",0.0604570466347892,0.151142616586973,"PER3ACRY1CRY2CGCGAA"
"16",0.150601391563624,0.231475762381217,"PER2CRY1AGCC"
"17",0.604988814251657,0.641030343398856,"PER2CRY2VNTRAAGGAB"
"18",0.608978826228913,0.641030343398856,"CRY2VNTRAGBB"
"19",0.375137353063075,0.469657082831636,"PER2CRY2VNTRGGAAAB"
"20",0.0604570466347892,0.151142616586973,"PER3ACRY2VNTRCGAAAB"
