"","multi_log_odds","multi_conf25","multi_conf75","multi_p_z","name","multi_adjusted_p"
"1","Inf",NA,NA,"0","PER2AA",0
"2","0",NA,NA,"0","PER2GG",0
"3","0",NA,NA,"0","PER3AGG",0
"4","Inf",NA,NA,"0","PER3ACG",0
"5","0",NA,NA,"0","PER3BAA",0
"6","Inf",NA,NA,"0","PER3BAG",0
"7","Inf",NA,NA,"0","PER3CGG",0
"8","0","-1940309375093363","-1940309351238288","0","PER3CGT",0
"9","Inf",NA,NA,"0","CLOCK3111CC",0
"10","0",NA,NA,"0","CLOCK3111TC",0
"11","0",NA,NA,"0","CRY1CC",0
"12","Inf",NA,NA,"0","CRY1GG",0
"13","Inf",NA,NA,"0","CRY2GG",0
"14","0",NA,NA,"0","CRY2AA",0
"15","Inf",NA,NA,"0","VNTRBB",0
"16","Inf",NA,NA,"0","VNTRAB",0
"17","0",NA,NA,"0","PER2PER3AAACC",0
"18",NA,NA,NA,NA,"PER2PER3AAACG",NA
"19","Inf",NA,NA,"0","PER2PER3AGGCC",0
"20",NA,NA,NA,NA,"PER2PER3AGGCG",NA
"21",NA,NA,NA,NA,"PER2PER3AAGGG",NA
"22",NA,NA,NA,NA,"PER2PER3AAGCG",NA
"23","Inf",NA,NA,"0","PER2PER3BAAGG",0
"24",NA,NA,NA,NA,"PER2PER3BAAAG",NA
"25","Inf",NA,NA,"0","PER2PER3BGGGG",0
"26","0",NA,NA,"0","PER2PER3BGGAA",0
"27",NA,NA,NA,NA,"PER2PER3BGGAG",NA
"28",NA,NA,NA,NA,"PER2PER3BAGAA",NA
"29",NA,NA,NA,NA,"PER2PER3BAGAG",NA
"30","0",NA,NA,"0","PER2PER3CAAGG",0
"31","Inf",NA,NA,"0","PER2PER3CAATT",0
"32",NA,NA,NA,NA,"PER2PER3CAAGT",NA
"33","Inf",NA,NA,"0","PER2PER3CGGGG",0
"34","0",NA,NA,"0","PER2PER3CGGTT",0
"35",NA,NA,NA,NA,"PER2PER3CGGGT",NA
"36",NA,NA,NA,NA,"PER2PER3CAGGG",NA
