"","fisher_p_z","fisher_adjusted_p","names"
"1",1,1,"PER2AA"
"2",0.54659634259997,1,"PER2GG"
"3",1,1,"PER3AGG"
"4",0.391318191566969,1,"PER3ACG"
"5",0.37157003832292,1,"PER3BAA"
"6",0.549750392291446,1,"PER3BAG"
"7",0.809895697617526,1,"PER3CGG"
"8",1,1,"PER3CGT"
"9",1,1,"CLOCK3111CC"
"10",0.8368512936945,1,"CLOCK3111TC"
"11",0.638919375991671,1,"CRY1CC"
"12",0.402117407580581,1,"CRY1GG"
"13",0.387855825722872,1,"CRY2GG"
"14",0.388473704459744,1,"CRY2AA"
"15",1,1,"VNTRBB"
"16",0.431362230711888,1,"VNTRAB"
"17",1,1,"PER2PER3AAACC"
"18",1,1,"PER2PER3AAACG"
"19",1,1,"PER2PER3AGGCC"
"20",0.376317512623551,1,"PER2PER3AGGCG"
"21",1,1,"PER2PER3AAGGG"
"22",1,1,"PER2PER3AAGCG"
"23",0.777236281593626,1,"PER2PER3BAAGG"
"24",0.503225848784531,1,"PER2PER3BAAAG"
"25",0.524549474655973,1,"PER2PER3BGGGG"
"26",0.206525748333097,1,"PER2PER3BGGAA"
"27",1,1,"PER2PER3BGGAG"
"28",1,1,"PER2PER3BAGAA"
"29",0.376317512623551,1,"PER2PER3BAGAG"
"30",0.615413609494279,1,"PER2PER3CAAGG"
"31",0.38430782880089,1,"PER2PER3CAATT"
"32",0.0820400114508432,1,"PER2PER3CAAGT"
"33",0.70285712389107,1,"PER2PER3CGGGG"
"34",0.458969744536191,1,"PER2PER3CGGTT"
"35",0.22135192520051,1,"PER2PER3CGGGT"
"36",0.311473689744316,1,"PER2PER3CAGGG"
"37",1,1,"PER2PER3CAGGT"
"38",1,1,"PER2CLOCK3111AATT"
"39",1,1,"PER2CLOCK3111AACC"
"40",1,1,"PER2CLOCK3111AATC"
"41",0.468393061686799,1,"PER2CLOCK3111GGTT"
"42",0.441129079882597,1,"PER2CLOCK3111GGCC"
"43",1,1,"PER2CLOCK3111GGTC"
"44",1,1,"PER2CLOCK3111AGCC"
"45",0.434713466463359,1,"PER2CLOCK3111AGTC"
"46",0.29880613660861,1,"PER2CRY1AACC"
"47",0.230799477436404,1,"PER2CRY1AAGG"
"48",0.671630842027141,1,"PER2CRY1AACG"
"49",1,1,"PER2CRY1GGCC"
"50",0.144003049484991,1,"PER2CRY1GGGG"
"51",0.434713466463359,1,"PER2CRY1GGCG"
"52",0.329524845081988,1,"PER2CRY1AGCC"
"53",0.249386374089715,1,"PER2CRY1AGGG"
"54",1,1,"PER2CRY2AAGG"
"55",0.373144749592815,1,"PER2CRY2AAAA"
"56",0.465984435537385,1,"PER2CRY2AAAG"
"57",0.512194352173566,1,"PER2CRY2GGGG"
"58",1,1,"PER2CRY2GGAA"
"59",0.435395006358087,1,"PER2CRY2GGAG"
"60",0.571890441848499,1,"PER2CRY2AGGG"
"61",1,1,"PER2CRY2AGAA"
"62",1,1,"PER2VNTRAAAA"
"63",1,1,"PER2VNTRAABB"
"64",0.671630842027141,1,"PER2VNTRAAAB"
"65",0.617655742667292,1,"PER2VNTRGGAA"
