"","multi_log_odds","multi_conf25","multi_conf75","multi_p_z","name","multi_adjusted_p"
"1","2.35344794198359e+254","-1398798.5387052",NA,"0.999947564360046","PER2AA",0.999995928638333
"2","1.98947609970729e+31",NA,NA,"0.999971803923732","PER2GG",0.999995928638333
"3","3.23322903126947e-24",NA,NA,"0.999977276163783","PER3ACG",0.999995928638333
"4","5.50409569584667e+237",NA,NA,"0.999941254224923","PER3BAA",0.999995928638333
"5","8.68714104346401e-46",NA,NA,"0.99991152533143","PER3BAG",0.999995928638333
"6","2.16730067869082e+49",NA,NA,"0.999993013318245","PER3CGG",0.999995928638333
"7","6.51561713244165e+57",NA,NA,"0.999992459610836","PER3CGT",0.999995928638333
"8","4.54776174960115e-126",NA,NA,"0.999911940779247","CLOCK3111CC",0.999995928638333
"9","1.34082993346193e+182",NA,NA,"0.999971867201711","CLOCK3111TC",0.999995928638333
"10","3.08926927581802e-244",NA,"22123662.0340464","0.99996559307858","CRY1CC",0.999995928638333
"11","3.34908032993646e+53",NA,NA,"0.99998889907145","CRY1GG",0.999995928638333
"12","1.40384646116566e+43","-2264204.3691886",NA,"0.999992864841257","CRY2GG",0.999995928638333
"13","3.59970923289325e-68","-12277497.0727776",NA,"0.999987866502736","CRY2AA",0.999995928638333
"14","8.78659077711174e+184",NA,NA,"0.999942487915695","VNTRBB",0.999995928638333
"15","1.1762722909498e+36",NA,NA,"0.99999182768738","VNTRAB",0.999995928638333
"16","7.39229272377284e-63",NA,NA,"0.999994144683723","PER2PER3AAACC",0.999995928638333
"17",NA,NA,NA,NA,"PER2PER3AAACG",NA
"18","5.55223298419045e-208",NA,NA,"0.999960679680273","PER2PER3AGGCC",0.999995928638333
"19",NA,NA,NA,NA,"PER2PER3AGGCG",NA
"20",NA,NA,NA,NA,"PER2PER3AAGCG",NA
"21","7.04160453210782e+21",NA,NA,"0.999945637146813","PER2PER3BAAGG",0.999995928638333
"22",NA,NA,NA,NA,"PER2PER3BAAAG",NA
"23","1.04516095107632e+39",NA,NA,"0.999989883626166","PER2PER3BGGGG",0.999995928638333
"24","7.93930459922212e-15",NA,"1720464.99112361","0.999991115369365","PER2PER3BGGAA",0.999995928638333
"25",NA,NA,NA,NA,"PER2PER3BGGAG",NA
"26",NA,NA,NA,NA,"PER2PER3BAGAA",NA
"27",NA,NA,NA,NA,"PER2PER3BAGAG",NA
"28","1.40913877262498e+30",NA,NA,"0.999971650681605","PER2PER3CAAGG",0.999995928638333
"29","2.03655140732049e-08",NA,"593728.825231519","0.999992366523371","PER2PER3CAATT",0.999995928638333
"30",NA,NA,NA,NA,"PER2PER3CAAGT",NA
"31","1.82704027056191e-56",NA,NA,"0.999969128029568","PER2PER3CGGGG",0.999995928638333
"32","0.000270743853082735",NA,NA,"0.999991833928829","PER2PER3CGGTT",0.999995928638333
"33",NA,NA,NA,NA,"PER2PER3CGGGT",NA
"34",NA,NA,NA,NA,"PER2PER3CAGGG",NA
"35",NA,NA,NA,NA,"PER2PER3CAGGT",NA
"36","2.84194232301225e-15",NA,NA,"0.999990807521565","PER2CLOCK3111AATT",0.999995928638333
"37",NA,NA,NA,NA,"PER2CLOCK3111AATC",NA
