"","fisher_p_z","fisher_adjusted_p","names"
"1",1,1,"PER2AA"
"2",1,1,"PER2GG"
"3",1,1,"PER3AGG"
"4",1,1,"PER3ACG"
"5",1,1,"PER3BAA"
"6",0.46474043682482,0.973104511343231,"PER3BAG"
"7",0.181869074270283,0.83723633427109,"PER3CGG"
"8",0.586139179028779,0.973104511343231,"PER3CGT"
"9",0.824995536703632,1,"CLOCK3111CC"
"10",0.60413953117208,0.973104511343231,"CLOCK3111TC"
"11",0.646892231207905,0.973104511343231,"CRY1CC"
"12",0.602727804162894,0.973104511343231,"CRY1GG"
"13",0.582788894118214,0.973104511343231,"CRY2GG"
"14",0.131433963838053,0.83723633427109,"CRY2AA"
"15",0.665808349866421,0.973104511343231,"VNTRBB"
"16",0.534479055320113,0.973104511343231,"VNTRAB"
"17",0.212325684475181,0.83723633427109,"GENDER"
"18",0.00660412336425332,0.125478343920813,"AGE"
"19",0.220325351123971,0.83723633427109,"SOCIO"
