"","fisher_p_z","fisher_adjusted_p","names"
"1",1,1,"PER2AA"
"2",0.643863797761199,1,"PER2GG"
"3",1,1,"PER3ACG"
"4",1,1,"PER3BAA"
"5",1,1,"PER3BAG"
"6",0.084082057183323,1,"PER3CGG"
"7",0.657965036296149,1,"PER3CGT"
"8",1,1,"CLOCK3111CC"
"9",1,1,"CLOCK3111TC"
"10",0.259961890208392,1,"CRY1CC"
"11",0.652504391012052,1,"CRY1GG"
"12",1,1,"CRY2GG"
"13",0.622078870496592,1,"CRY2AA"
"14",0.375194509021957,1,"VNTRBB"
"15",0.362153669115694,1,"VNTRAB"
"16",1,1,"PER2PER3AAACC"
"17",1,1,"PER2PER3AAACG"
"18",0.346836957180062,1,"PER2PER3AGGCC"
"19",1,1,"PER2PER3AGGCG"
"20",0.458406808048713,1,"PER2PER3AAGCG"
"21",1,1,"PER2PER3BAAGG"
"22",1,1,"PER2PER3BAAAG"
"23",0.370411567113766,1,"PER2PER3BGGGG"
"24",1,1,"PER2PER3BGGAA"
"25",1,1,"PER2PER3BGGAG"
"26",1,1,"PER2PER3BAGAA"
"27",1,1,"PER2PER3BAGAG"
"28",1,1,"PER2PER3CAAGG"
"29",1,1,"PER2PER3CAATT"
"30",1,1,"PER2PER3CAAGT"
"31",0.458406808048713,1,"PER2PER3CGGGG"
"32",0.566384315218426,1,"PER2PER3CGGTT"
"33",0.566384315218426,1,"PER2PER3CGGGT"
"34",0.0582641875113562,1,"PER2PER3CAGGG"
"35",1,1,"PER2PER3CAGGT"
"36",1,1,"PER2CLOCK3111AATT"
"37",1,1,"PER2CLOCK3111AATC"
"38",1,1,"PER2CLOCK3111GGTT"
"39",0.23396523529768,1,"PER2CLOCK3111GGTC"
"40",1,1,"PER2CLOCK3111AGCC"
"41",1,1,"PER2CLOCK3111AGTC"
"42",1,1,"PER2CRY1AACC"
"43",1,1,"PER2CRY1AAGG"
"44",1,1,"PER2CRY1AACG"
"45",0.0582641875113562,1,"PER2CRY1GGCC"
"46",0.585514418958789,1,"PER2CRY1GGGG"
"47",1,1,"PER2CRY1GGCG"
"48",1,1,"PER2CRY1AGCC"
"49",0.532508089844865,1,"PER2CRY1AGGG"
"50",1,1,"PER2CRY2AAGG"
"51",1,1,"PER2CRY2AAAA"
"52",1,1,"PER2CRY2AAAG"
"53",0.115143517375363,1,"PER2CRY2GGGG"
"54",1,1,"PER2CRY2GGAA"
"55",1,1,"PER2CRY2GGAG"
"56",0.585514418958789,1,"PER2CRY2AGGG"
"57",0.13693801202129,1,"PER2CRY2AGAA"
"58",1,1,"PER2VNTRAAAA"
"59",1,1,"PER2VNTRAABB"
"60",1,1,"PER2VNTRAAAB"
"61",0.577121080119081,1,"PER2VNTRGGAA"
"62",1,1,"PER2VNTRGGBB"
"63",0.0519886509226949,1,"PER2VNTRGGAB"
"64",0.282055802292311,1,"PER2VNTRAGBB"
"65",1,1,"PER2VNTRAGAB"
"66",1,1,"PER3APER3BCCAA"
"67",1,1,"PER3APER3BCCAG"
"68",1,1,"PER3APER3BCGGG"
"69",0.23396523529768,1,"PER3APER3CCCGG"
"70",1,1,"PER3APER3CCCGT"
"71",0.231496351749516,1,"PER3APER3CCGGG"
"72",1,1,"PER3APER3CCGTT"
"73",1,1,"PER3APER3CCGGT"
"74",1,1,"PER3ACLOCK3111CCCC"
"75",0.645325735224136,1,"PER3ACLOCK3111CCTC"
"76",0.496547173679086,1,"PER3ACLOCK3111CGTT"
"77",1,1,"PER3ACLOCK3111CGCC"
"78",1,1,"PER3ACLOCK3111CGTC"
"79",0.20852764823451,1,"PER3ACRY1CCCC"
"80",1,1,"PER3ACRY1CCGG"
"81",1,1,"PER3ACRY1CGCC"
"82",1,1,"PER3ACRY1CGGG"
"83",0.458406808048713,1,"PER3ACRY1CGCG"
"84",0.611733203505355,1,"PER3ACRY2CCGG"
"85",1,1,"PER3ACRY2CCAA"
"86",1,1,"PER3ACRY2CGGG"
"87",0.231496351749516,1,"PER3ACRY2CGAA"
"88",1,1,"PER3ACRY2CGAG"
"89",0.329918748806157,1,"PER3AVNTRCCBB"
"90",0.648791831086968,1,"PER3AVNTRCCAB"
"91",1,1,"PER3AVNTRCGAA"
"92",1,1,"PER3AVNTRCGBB"
"93",0.375194509021957,1,"PER3AVNTRCGAB"
"94",0.0617373965142119,1,"PER3BPER3CGGGG"
"95",1,1,"PER3BPER3CGGGT"
"96",1,1,"PER3BPER3CAAGG"
"97",1,1,"PER3BPER3CAATT"
"98",1,1,"PER3BPER3CAGGG"
"99",1,1,"PER3BPER3CAGTT"
"100",1,1,"PER3BPER3CAGGT"
"101",1,1,"PER3BCLOCK3111GGCC"
"102",0.645325735224136,1,"PER3BCLOCK3111GGTC"
"103",1,1,"PER3BCLOCK3111AATT"
"104",1,1,"PER3BCLOCK3111AGTT"
"105",1,1,"PER3BCLOCK3111AGTC"
"106",0.1598696107357,1,"PER3BCRY1GGCC"
"107",1,1,"PER3BCRY1GGGG"
"108",1,1,"PER3BCRY1AACC"
"109",1,1,"PER3BCRY1AAGG"
"110",1,1,"PER3BCRY1AGCC"
"111",1,1,"PER3BCRY1AGGG"
"112",1,1,"PER3BCRY1AGCG"
"113",0.657965036296149,1,"PER3BCRY2GGGG"
"114",0.602427635655484,1,"PER3BCRY2GGAA"
"115",1,1,"PER3BCRY2AAAG"
"116",1,1,"PER3BCRY2AGGG"
"117",1,1,"PER3BCRY2AGAA"
"118",1,1,"PER3BCRY2AGAG"
"119",0.375194509021957,1,"PER3BVNTRGGBB"
"120",0.176307286983503,1,"PER3BVNTRGGAB"
"121",1,1,"PER3BVNTRAAAA"
"122",1,1,"PER3BVNTRAGAA"
"123",1,1,"PER3BVNTRAGAB"
"124",0.259961890208392,1,"PER3CCLOCK3111GGTT"
"125",0.178128042843233,1,"PER3CCLOCK3111GGTC"
"126",1,1,"PER3CCLOCK3111TTCC"
"127",1,1,"PER3CCLOCK3111TTTC"
"128",1,1,"PER3CCLOCK3111GTTT"
"129",1,1,"PER3CCLOCK3111GTCC"
"130",1,1,"PER3CCLOCK3111GTTC"
"131",0.231496351749516,1,"PER3CCRY1GGCC"
"132",0.417989405664289,1,"PER3CCRY1GGGG"
"133",0.375194509021957,1,"PER3CCRY1GGCG"
"134",0.417989405664289,1,"PER3CCRY1TTCC"
"135",1,1,"PER3CCRY1TTGG"
"136",1,1,"PER3CCRY1GTCC"
"137",1,1,"PER3CCRY1GTGG"
"138",1,1,"PER3CCRY1GTCG"
"139",0.282055802292311,1,"PER3CCRY2GGGG"
"140",0.0582641875113562,1,"PER3CCRY2GGAA"
"141",1,1,"PER3CCRY2GGAG"
"142",1,1,"PER3CCRY2TTGG"
"143",1,1,"PER3CCRY2TTAA"
"144",1,1,"PER3CCRY2GTGG"
"145",1,1,"PER3CCRY2GTAA"
"146",0.496547173679086,1,"PER3CCRY2GTAG"
"147",1,1,"PER3CVNTRGGAA"
"148",0.329918748806157,1,"PER3CVNTRGGBB"
"149",0.0427410697230817,1,"PER3CVNTRGGAB"
"150",1,1,"PER3CVNTRTTAB"
"151",0.577554357700927,1,"PER3CVNTRGTAA"
"152",1,1,"PER3CVNTRGTBB"
"153",0.532508089844865,1,"PER3CVNTRGTAB"
"154",0.458406808048713,1,"CLOCK3111CRY1TTCC"
"155",1,1,"CLOCK3111CRY1TTGG"
"156",1,1,"CLOCK3111CRY1CCCC"
"157",1,1,"CLOCK3111CRY1CCGG"
"158",1,1,"CLOCK3111CRY1CCCG"
"159",0.329918748806157,1,"CLOCK3111CRY1TCCC"
"160",1,1,"CLOCK3111CRY1TCGG"
"161",0.566384315218426,1,"CLOCK3111CRY1TCCG"
"162",1,1,"CLOCK3111CRY2TTGG"
"163",0.23396523529768,1,"CLOCK3111CRY2TTAA"
"164",1,1,"CLOCK3111CRY2CCGG"
"165",1,1,"CLOCK3111CRY2CCAA"
