"","fisher_p_z","fisher_adjusted_p","names"
"1",1,1,"PER2AA"
"2",0.136810773958025,0.99778753789501,"PER2GG"
"3",1,1,"PER3ACG"
"4",0.296913580246913,0.99778753789501,"PER3BAA"
"5",0.631657308883633,0.99778753789501,"PER3BAG"
"6",1,1,"PER3CGG"
"7",0.751374466306938,0.99778753789501,"PER3CGT"
"8",1,1,"CLOCK3111CC"
"9",0.758280731131746,0.99778753789501,"CLOCK3111TC"
"10",0.28159385566667,0.99778753789501,"CRY1CC"
"11",0.76192932386938,0.99778753789501,"CRY1GG"
"12",0.758266698082755,0.99778753789501,"CRY2GG"
"13",0.101789183999891,0.99778753789501,"CRY2AA"
"14",0.582444155395521,0.99778753789501,"VNTRBB"
"15",0.763013999566772,0.99778753789501,"VNTRAB"
"16",0.687676953330215,0.99778753789501,"AGE"
"17",0.484954945142433,0.99778753789501,"SOCIO"
