"","fisher_p_z","fisher_adjusted_p","names"
"1",0.605147844614206,0.934732299568995,"PER2AA"
"2",0.794485991969791,1,"PER2GG"
"3",1,1,"PER3AGG"
"4",0.379805845023595,0.801812339494257,"PER3ACG"
"5",1,1,"PER3BAA"
"6",0.455659967437972,0.859303581238469,"PER3BAG"
"7",0.362542844513898,0.801812339494257,"PER3CGG"
"8",1,1,"PER3CGT"
"9",0.36877059041723,0.801812339494257,"CLOCK3111CC"
"10",0.147457792813471,0.616633284261564,"CLOCK3111TC"
"11",0.63955367865247,0.934732299568995,"CRY1CC"
"12",0.285939207522733,0.801812339494257,"CRY1GG"
"13",0.162271916910938,0.616633284261564,"CRY2GG"
"14",0.0477817063303004,0.302617473425236,"CRY2AA"
"15",0.497491547032798,0.859303581238469,"VNTRBB"
"16",1,1,"VNTRAB"
"17",0.000382597757288044,0.00726935738847284,"GENDER"
"18",0.913185215606874,1,"AGE"
"19",0.0185842180872373,0.176550071828754,"SOCIO"
