"","fisher_p_z","fisher_adjusted_p","names"
"1",1,1,"PER2AA"
"2",0.255263603550966,1,"PER2GG"
"3",1,1,"PER3ACG"
"4",0.53109243697479,1,"PER3BAA"
"5",0.145833145938042,1,"PER3BAG"
"6",0.602440340244112,1,"PER3CGG"
"7",0.81144493859432,1,"PER3CGT"
"8",0.184667651956463,1,"CLOCK3111CC"
"9",0.636325004414105,1,"CLOCK3111TC"
"10",0.399771573745803,1,"CRY1CC"
"11",0.480179668914962,1,"CRY1GG"
"12",0.0327948879941288,0.739706918089795,"CRY2GG"
"13",0.0123491969134106,0.664467310269792,"CRY2AA"
"14",0.702063890015139,1,"VNTRBB"
"15",0.821890899365099,1,"VNTRAB"
"16",0.740297379285678,1,"PER2PER3AAACC"
"17",0.364705882352941,1,"PER2PER3AAACG"
"18",0.238508104709653,1,"PER2PER3AGGCC"
"19",1,1,"PER2PER3AGGCG"
"20",0.740297379285678,1,"PER2PER3AAGCG"
"21",1,1,"PER2PER3BAAGG"
"22",1,1,"PER2PER3BAAAG"
"23",0.491733371699757,1,"PER2PER3BGGGG"
"24",1,1,"PER2PER3BGGAA"
"25",0.53109243697479,1,"PER2PER3BGGAG"
"26",1,1,"PER2PER3BAGAA"
"27",0.408829106135549,1,"PER2PER3BAGAG"
"28",1,1,"PER2PER3CAAGG"
"29",0.620244124684843,1,"PER2PER3CAATT"
"30",1,1,"PER2PER3CAAGT"
"31",0.718037154653022,1,"PER2PER3CGGGG"
"32",0.239821341340169,1,"PER2PER3CGGTT"
"33",0.522452002583321,1,"PER2PER3CGGGT"
"34",0.718037154653022,1,"PER2PER3CAGGG"
"35",0.111650445230488,1,"PER2PER3CAGGT"
"36",1,1,"PER2CLOCK3111AATT"
"37",1,1,"PER2CLOCK3111AATC"
"38",1,1,"PER2CLOCK3111GGTT"
"39",0.23659301490501,1,"PER2CLOCK3111GGTC"
"40",0.184667651956463,1,"PER2CLOCK3111AGCC"
"41",0.485894812055322,1,"PER2CLOCK3111AGTC"
"42",0.364705882352941,1,"PER2CRY1AACC"
"43",1,1,"PER2CRY1AAGG"
"44",1,1,"PER2CRY1AACG"
"45",0.702063890015139,1,"PER2CRY1GGCC"
"46",0.0729544522183084,1,"PER2CRY1GGGG"
"47",1,1,"PER2CRY1GGCG"
"48",0.718037154653022,1,"PER2CRY1AGCC"
"49",0.340764259223791,1,"PER2CRY1AGGG"
"50",1,1,"PER2CRY2AAGG"
"51",1,1,"PER2CRY2AAAA"
"52",1,1,"PER2CRY2AAAG"
"53",0.0851449749001249,1,"PER2CRY2GGGG"
"54",0.485894812055322,1,"PER2CRY2GGAA"
"55",0.55619622538387,1,"PER2CRY2GGAG"
"56",0.239821341340169,1,"PER2CRY2AGGG"
"57",0.0258883625856531,0.664467310269792,"PER2CRY2AGAA"
"58",1,1,"PER2VNTRAAAA"
"59",0.364705882352941,1,"PER2VNTRAABB"
"60",0.648374189523003,1,"PER2VNTRAAAB"
"61",0.582265266980665,1,"PER2VNTRGGAA"
"62",1,1,"PER2VNTRGGBB"
"63",0.582265266980665,1,"PER2VNTRGGAB"
"64",1,1,"PER2VNTRAGBB"
"65",0.197526558569262,1,"PER2VNTRAGAB"
"66",0.53109243697479,1,"PER3APER3BCCAA"
"67",0.145833145938042,1,"PER3APER3BCCAG"
"68",1,1,"PER3APER3BCGGG"
"69",0.56935482786575,1,"PER3APER3CCCGG"
"70",0.61892188748391,1,"PER3APER3CCCGT"
"71",1,1,"PER3APER3CCGGG"
"72",0.702063890015139,1,"PER3APER3CCGTT"
"73",1,1,"PER3APER3CCGGT"
"74",0.0455097701731295,0.839862122285936,"PER3ACLOCK3111CCCC"
"75",1,1,"PER3ACLOCK3111CCTC"
"76",0.519603152213345,1,"PER3ACLOCK3111CGTT"
"77",1,1,"PER3ACLOCK3111CGCC"
"78",0.53109243697479,1,"PER3ACLOCK3111CGTC"
"79",0.388723102887218,1,"PER3ACRY1CCCC"
"80",1,1,"PER3ACRY1CCGG"
"81",1,1,"PER3ACRY1CGCC"
"82",0.291609232585188,1,"PER3ACRY1CGGG"
"83",0.485894812055322,1,"PER3ACRY1CGCG"
"84",0.0410373260034858,0.833057717870762,"PER3ACRY2CCGG"
"85",0.0172618126178593,0.664467310269792,"PER3ACRY2CCAA"
"86",1,1,"PER3ACRY2CGGG"
"87",0.620244124684843,1,"PER3ACRY2CGAA"
"88",1,1,"PER3ACRY2CGAG"
"89",0.663757818731372,1,"PER3AVNTRCCBB"
"90",1,1,"PER3AVNTRCCAB"
"91",1,1,"PER3AVNTRCGAA"
"92",1,1,"PER3AVNTRCGBB"
"93",0.45505702960034,1,"PER3AVNTRCGAB"
"94",0.289094434777359,1,"PER3BPER3CGGGG"
"95",0.632453305189033,1,"PER3BPER3CGGGT"
"96",1,1,"PER3BPER3CAAGG"
"97",1,1,"PER3BPER3CAATT"
"98",1,1,"PER3BPER3CAGGG"
"99",0.414058983696441,1,"PER3BPER3CAGTT"
"100",1,1,"PER3BPER3CAGGT"
"101",0.184667651956463,1,"PER3BCLOCK3111GGCC"
"102",1,1,"PER3BCLOCK3111GGTC"
"103",0.53109243697479,1,"PER3BCLOCK3111AATT"
"104",0.414058983696441,1,"PER3BCLOCK3111AGTT"
"105",0.53109243697479,1,"PER3BCLOCK3111AGTC"
"106",0.212127734468496,1,"PER3BCRY1GGCC"
"107",1,1,"PER3BCRY1GGGG"
"108",1,1,"PER3BCRY1AACC"
"109",1,1,"PER3BCRY1AAGG"
"110",1,1,"PER3BCRY1AGCC"
"111",0.296638655462185,1,"PER3BCRY1AGGG"
"112",0.296638655462185,1,"PER3BCRY1AGCG"
"113",0.0899817455985617,1,"PER3BCRY2GGGG"
"114",0.0191947774651889,0.664467310269792,"PER3BCRY2GGAA"
"115",0.53109243697479,1,"PER3BCRY2AAAG"
"116",0.296638655462185,1,"PER3BCRY2AGGG"
"117",1,1,"PER3BCRY2AGAA"
"118",0.291609232585188,1,"PER3BCRY2AGAG"
"119",0.702063890015139,1,"PER3BVNTRGGBB"
"120",0.370785010653387,1,"PER3BVNTRGGAB"
"121",0.53109243697479,1,"PER3BVNTRAAAA"
"122",0.296638655462185,1,"PER3BVNTRAGAA"
"123",0.408829106135549,1,"PER3BVNTRAGAB"
"124",0.56935482786575,1,"PER3CCLOCK3111GGTT"
"125",1,1,"PER3CCLOCK3111GGCC"
"126",0.620244124684843,1,"PER3CCLOCK3111GGTC"
"127",0.135419316124922,1,"PER3CCLOCK3111TTCC"
"128",0.314173079174833,1,"PER3CCLOCK3111TTTC"
"129",1,1,"PER3CCLOCK3111GTTT"
"130",0.364705882352941,1,"PER3CCLOCK3111GTCC"
"131",1,1,"PER3CCLOCK3111GTTC"
"132",0.349492250617555,1,"PER3CCRY1GGCC"
"133",0.718037154653022,1,"PER3CCRY1GGGG"
"134",1,1,"PER3CCRY1GGCG"
"135",1,1,"PER3CCRY1TTCC"
"136",0.120202319602652,1,"PER3CCRY1TTGG"
"137",0.620244124684843,1,"PER3CCRY1GTCC"
"138",1,1,"PER3CCRY1GTGG"
"139",1,1,"PER3CCRY1GTCG"
"140",0.408829106135549,1,"PER3CCRY2GGGG"
"141",0.0937289830918027,1,"PER3CCRY2GGAA"
"142",1,1,"PER3CCRY2GGAG"
"143",0.560565089449,1,"PER3CCRY2TTGG"
"144",0.718037154653022,1,"PER3CCRY2TTAA"
"145",0.0851449749001249,1,"PER3CCRY2GTGG"
"146",0.134202757308952,1,"PER3CCRY2GTAA"
"147",0.485894812055322,1,"PER3CCRY2GTAG"
"148",0.45505702960034,1,"PER3CVNTRGGAA"
"149",1,1,"PER3CVNTRGGBB"
"150",0.702063890015139,1,"PER3CVNTRGGAB"
"151",0.625516873588917,1,"PER3CVNTRTTAB"
"152",0.391628248889711,1,"PER3CVNTRGTAA"
"153",0.364705882352941,1,"PER3CVNTRGTBB"
"154",0.19801442653342,1,"PER3CVNTRGTAB"
"155",0.0674947002357292,1,"CLOCK3111CRY1TTCC"
"156",0.175694266848617,1,"CLOCK3111CRY1TTGG"
"157",0.364705882352941,1,"CLOCK3111CRY1CCCC"
"158",1,1,"CLOCK3111CRY1CCGG"
"159",0.550865647463805,1,"CLOCK3111CRY1CCCG"
"160",0.414058983696441,1,"CLOCK3111CRY1TCCC"
"161",0.718037154653022,1,"CLOCK3111CRY1TCGG"
"162",1,1,"CLOCK3111CRY1TCCG"
"163",0.023267849212942,0.664467310269792,"CLOCK3111CRY2TTGG"
"164",0.254459786654357,1,"CLOCK3111CRY2TTAA"
"165",0.130252100840336,1,"CLOCK3111CRY2CCGG"
"166",0.364705882352941,1,"CLOCK3111CRY2CCAA"
"167",1,1,"CLOCK3111CRY2CCAG"
"168",0.313918676607602,1,"CLOCK3111CRY2TCGG"
"169",0.0937289830918027,1,"CLOCK3111CRY2TCAA"
"170",0.314173079174833,1,"CLOCK3111CRY2TCAG"
"171",1,1,"CLOCK3111VNTRTTBB"
"172",1,1,"CLOCK3111VNTRTTAB"
"173",1,1,"CLOCK3111VNTRCCAA"
"174",0.135419316124922,1,"CLOCK3111VNTRCCAB"
"175",0.738813364310168,1,"CLOCK3111VNTRTCAA"
"176",0.364705882352941,1,"CLOCK3111VNTRTCBB"
"177",0.77606451049019,1,"CLOCK3111VNTRTCAB"
"178",1,1,"CRY1CRY2CCGG"
"179",0.015539921522532,0.664467310269792,"CRY1CRY2CCAA"
"180",1,1,"CRY1CRY2CCAG"
"181",0.476354715784184,1,"CRY1CRY2GGGG"
"182",1,1,"CRY1CRY2GGAA"
"183",0.738813364310168,1,"CRY1CRY2GGAG"
"184",0.0729544522183084,1,"CRY1CRY2CGGG"
"185",0.159557725815004,1,"CRY1CRY2CGAA"
"186",1,1,"CRY1VNTRCCAA"
"187",0.364705882352941,1,"CRY1VNTRCCBB"
"188",0.485894812055322,1,"CRY1VNTRCCAB"
"189",0.534223613018212,1,"CRY1VNTRGGAA"
"190",0.620244124684843,1,"CRY1VNTRGGBB"
"191",0.0261859038529967,0.664467310269792,"CRY1VNTRGGAB"
"192",0.53109243697479,1,"CRY1VNTRCGBB"
"193",0.116495720920253,1,"CRY1VNTRCGAB"
"194",0.24828427634589,1,"CRY2VNTRGGAA"
"195",1,1,"CRY2VNTRGGBB"
"196",0.111709558583227,1,"CRY2VNTRGGAB"
"197",1,1,"CRY2VNTRAAAA"
"198",0.620244124684843,1,"CRY2VNTRAABB"
"199",0.00396967591318477,0.664467310269792,"CRY2VNTRAAAB"
"200",1,1,"CRY2VNTRAGBB"
"201",1,1,"CRY2VNTRAGAB"
"202",0.663757818731372,1,"AGE"
"203",0.519469032871836,1,"SOCIO"
