"","fisher_p_z","fisher_adjusted_p","names"
"1",0.844058428892842,1,"PER2AA"
"2",0.532418818103188,1,"PER2GG"
"3",1,1,"PER3AGG"
"4",0.831476392336862,1,"PER3ACG"
"5",0.490740740740741,1,"PER3BAA"
"6",1,1,"PER3BAG"
"7",0.277581608264661,1,"PER3CGG"
"8",0.739800322867299,1,"PER3CGT"
"9",0.288287354883966,1,"CLOCK3111CC"
"10",0.876566754956537,1,"CLOCK3111TC"
"11",1,1,"CRY1CC"
"12",0.26730739360118,1,"CRY1GG"
"13",0.0267326599718703,1,"CRY2GG"
"14",1,1,"CRY2AA"
"15",0.44652414374431,1,"VNTRBB"
"16",0.763014484064165,1,"VNTRAB"
"17",0.686257720166838,1,"PER2PER3AAACC"
"18",1,1,"PER2PER3AAACG"
"19",0.745104618091013,1,"PER2PER3AGGCC"
"20",0.526539343825591,1,"PER2PER3AGGCG"
"21",1,1,"PER2PER3AAGGG"
"22",0.565920087548577,1,"PER2PER3AAGCG"
"23",1,1,"PER2PER3BAAGG"
"24",0.625368915174255,1,"PER2PER3BAAAG"
"25",0.512157639737852,1,"PER2PER3BGGGG"
"26",0.285714285714286,1,"PER2PER3BGGAA"
"27",1,1,"PER2PER3BGGAG"
"28",1,1,"PER2PER3BAGAA"
"29",1,1,"PER2PER3BAGAG"
"30",0.514294864525753,1,"PER2PER3CAAGG"
"31",0.745618046086348,1,"PER2PER3CAATT"
"32",0.761593257123254,1,"PER2PER3CAAGT"
"33",1,1,"PER2PER3CGGGG"
"34",1,1,"PER2PER3CGGTT"
"35",0.297831824408038,1,"PER2PER3CGGGT"
"36",0.297831824408038,1,"PER2PER3CAGGG"
"37",1,1,"PER2PER3CAGGT"
"38",1,1,"PER2CLOCK3111AATT"
"39",1,1,"PER2CLOCK3111AACC"
"40",1,1,"PER2CLOCK3111AATC"
"41",0.572659301413783,1,"PER2CLOCK3111GGTT"
"42",0.676615620174003,1,"PER2CLOCK3111GGCC"
"43",0.521161087728004,1,"PER2CLOCK3111GGTC"
"44",0.288024206173428,1,"PER2CLOCK3111AGCC"
"45",0.424111260489421,1,"PER2CLOCK3111AGTC"
"46",0.728041034980045,1,"PER2CRY1AACC"
"47",0.779281400448429,1,"PER2CRY1AAGG"
"48",0.514294864525753,1,"PER2CRY1AACG"
"49",0.401316386188083,1,"PER2CRY1GGCC"
"50",0.376283830974812,1,"PER2CRY1GGGG"
"51",0.838559797755752,1,"PER2CRY1GGCG"
"52",0.800779409229701,1,"PER2CRY1AGCC"
"53",0.521161087728004,1,"PER2CRY1AGGG"
"54",1,1,"PER2CRY2AAGG"
"55",0.514294864525753,1,"PER2CRY2AAAA"
"56",1,1,"PER2CRY2AAAG"
"57",0.048126807581797,1,"PER2CRY2GGGG"
"58",0.297831824408038,1,"PER2CRY2GGAA"
"59",0.106045095897008,1,"PER2CRY2GGAG"
"60",0.362309647556224,1,"PER2CRY2AGGG"
"61",0.284651126283834,1,"PER2CRY2AGAA"
"62",0.800779409229701,1,"PER2VNTRAAAA"
"63",1,1,"PER2VNTRAABB"
"64",0.330196740940013,1,"PER2VNTRAAAB"
"65",0.2375542139079,1,"PER2VNTRGGAA"
"66",1,1,"PER2VNTRGGBB"
"67",1,1,"PER2VNTRGGAB"
"68",0.76205980652223,1,"PER2VNTRAGBB"
"69",1,1,"PER2VNTRAGAB"
"70",0.490740740740741,1,"PER3APER3BCCAA"
"71",1,1,"PER3APER3BCCAG"
"72",1,1,"PER3APER3BGGGG"
"73",0.662983917621448,1,"PER3APER3BCGGG"
"74",0.490740740740741,1,"PER3APER3BCGAG"
"75",0.0492597440996546,1,"PER3APER3CCCGG"
"76",0.483325936920268,1,"PER3APER3CCCGT"
"77",1,1,"PER3APER3CGGGG"
"78",0.451409486400014,1,"PER3APER3CCGGG"
"79",0.330196740940013,1,"PER3APER3CCGTT"
"80",0.728041034980045,1,"PER3APER3CCGGT"
"81",0.563437003303621,1,"PER3ACLOCK3111CCCC"
"82",0.517638478430999,1,"PER3ACLOCK3111CCTC"
"83",1,1,"PER3ACLOCK3111GGTT"
"84",0.563437003303621,1,"PER3ACLOCK3111CGTT"
"85",0.580018836484822,1,"PER3ACLOCK3111CGCC"
"86",0.330196740940013,1,"PER3ACLOCK3111CGTC"
"87",0.850872739005915,1,"PER3ACRY1CCCC"
"88",0.401069696990294,1,"PER3ACRY1CCGG"
"89",1,1,"PER3ACRY1GGCG"
"90",0.559431524547804,1,"PER3ACRY1CGCC"
"91",0.548533302009984,1,"PER3ACRY1CGGG"
"92",0.761593257123254,1,"PER3ACRY1CGCG"
"93",0.104736517751289,1,"PER3ACRY2CCGG"
"94",0.861295836223289,1,"PER3ACRY2CCAA"
"95",1,1,"PER3ACRY2GGAA"
"96",0.229227925341447,1,"PER3ACRY2CGGG"
"97",1,1,"PER3ACRY2CGAA"
"98",0.241550267352162,1,"PER3ACRY2CGAG"
"99",0.785619647993761,1,"PER3AVNTRCCBB"
"100",0.879528405231128,1,"PER3AVNTRCCAB"
"101",1,1,"PER3AVNTRGGAA"
"102",0.800374900415954,1,"PER3AVNTRCGAA"
"103",1,1,"PER3AVNTRCGBB"
"104",0.691431018301892,1,"PER3AVNTRCGAB"
"105",0.346915941964026,1,"PER3BPER3CGGGG"
"106",0.730125007318018,1,"PER3BPER3CGGGT"
"107",0.490740740740741,1,"PER3BPER3CAATT"
"108",0.625368915174255,1,"PER3BPER3CAGGG"
"109",1,1,"PER3BPER3CAGTT"
"110",1,1,"PER3BPER3CAGGT"
"111",0.288287354883966,1,"PER3BCLOCK3111GGCC"
