"","fisher_p_z","fisher_adjusted_p","names"
"1",0.573823258860108,1,"PER2AA"
"2",0.882082245795237,1,"PER2GG"
"3",1,1,"PER3AGG"
"4",0.322458830195322,1,"PER3ACG"
"5",1,1,"PER3BAA"
"6",0.680916981111138,1,"PER3BAG"
"7",0.302980189869009,1,"PER3CGG"
"8",1,1,"PER3CGT"
"9",0.45582628852104,1,"CLOCK3111CC"
"10",0.0730248772315305,1,"CLOCK3111TC"
"11",0.284065380766715,1,"CRY1CC"
"12",0.294043625020026,1,"CRY1GG"
"13",0.329185059961343,1,"CRY2GG"
"14",0.151569598427179,1,"CRY2AA"
"15",0.308836105718989,1,"VNTRBB"
"16",0.772773060281575,1,"VNTRAB"
"17",0.698784116413751,1,"PER2PER3AAACC"
"18",1,1,"PER2PER3AAACG"
"19",0.757417093919284,1,"PER2PER3AGGCC"
"20",0.378738765072792,1,"PER2PER3AGGCG"
"21",1,1,"PER2PER3AAGGG"
"22",0.78912727777026,1,"PER2PER3AAGCG"
"23",1,1,"PER2PER3BAAGG"
"24",0.364654043777231,1,"PER2PER3BAAAG"
"25",1,1,"PER2PER3BGGGG"
"26",1,1,"PER2PER3BGGAG"
"27",1,1,"PER2PER3BAGAA"
"28",0.730159250085065,1,"PER2PER3BAGAG"
"29",0.0941480931887882,1,"PER2PER3CAAGG"
"30",0.37053367112708,1,"PER2PER3CAATT"
"31",0.152229906007181,1,"PER2PER3CAAGT"
"32",1,1,"PER2PER3CGGGG"
"33",0.590369492791861,1,"PER2PER3CGGTT"
"34",0.332260819890936,1,"PER2PER3CGGGT"
"35",1,1,"PER2PER3CAGGG"
"36",0.823092168339082,1,"PER2PER3CAGGT"
"37",0.232532449843011,1,"PER2CLOCK3111AATT"
"38",1,1,"PER2CLOCK3111AACC"
"39",0.770560768608178,1,"PER2CLOCK3111AATC"
"40",0.369477219099656,1,"PER2CLOCK3111GGTT"
"41",0.199217133668758,1,"PER2CLOCK3111GGCC"
"42",0.0407388356994009,1,"PER2CLOCK3111GGTC"
"43",1,1,"PER2CLOCK3111AGCC"
"44",1,1,"PER2CLOCK3111AGTC"
"45",0.298948757697959,1,"PER2CRY1AACC"
"46",0.420784665563765,1,"PER2CRY1AAGG"
"47",0.336475429236138,1,"PER2CRY1AACG"
"48",0.78912727777026,1,"PER2CRY1GGCC"
"49",0.520978845305053,1,"PER2CRY1GGGG"
"50",0.565518280737249,1,"PER2CRY1GGCG"
"51",0.194611153029588,1,"PER2CRY1AGCC"
"52",1,1,"PER2CRY1AGGG"
"53",1,1,"PER2CRY2AAGG"
"54",1,1,"PER2CRY2AAAA"
"55",0.308836105718989,1,"PER2CRY2AAAG"
"56",0.262715783603033,1,"PER2CRY2GGGG"
"57",0.452200969624065,1,"PER2CRY2GGAA"
"58",0.189298410282574,1,"PER2CRY2GGAG"
"59",1,1,"PER2CRY2AGGG"
"60",0.30231168930109,1,"PER2CRY2AGAA"
"61",0.629694314959111,1,"PER2VNTRAAAA"
"62",0.0660120300364133,1,"PER2VNTRAABB"
"63",0.765483609641658,1,"PER2VNTRAAAB"
"64",0.852047671055006,1,"PER2VNTRGGAA"
"65",1,1,"PER2VNTRGGBB"
"66",1,1,"PER2VNTRGGAB"
"67",1,1,"PER2VNTRAGBB"
"68",0.728689373620344,1,"PER2VNTRAGAB"
"69",1,1,"PER3APER3BCCAA"
"70",0.831373814562751,1,"PER3APER3BCCAG"
"71",1,1,"PER3APER3BGGGG"
"72",0.30231168930109,1,"PER3APER3BCGGG"
"73",1,1,"PER3APER3BCGAG"
"74",0.44880850295803,1,"PER3APER3CCCGG"
"75",1,1,"PER3APER3CCCGT"
"76",1,1,"PER3APER3CGGGG"
"77",1,1,"PER3APER3CCGGG"
"78",0.217202522980754,1,"PER3APER3CCGTT"
"79",1,1,"PER3APER3CCGGT"
"80",0.580451146397079,1,"PER3ACLOCK3111CCCC"
"81",0.437001801002981,1,"PER3ACLOCK3111CCTC"
"82",1,1,"PER3ACLOCK3111GGTT"
"83",1,1,"PER3ACLOCK3111CGTT"
"84",0.630676595231657,1,"PER3ACLOCK3111CGCC"
"85",0.0338057271045387,1,"PER3ACLOCK3111CGTC"
"86",0.462445799077135,1,"PER3ACRY1CCCC"
"87",0.748482805998391,1,"PER3ACRY1CCGG"
"88",1,1,"PER3ACRY1GGCG"
"89",0.557248123023777,1,"PER3ACRY1CGCC"
"90",0.259775396533917,1,"PER3ACRY1CGGG"
"91",0.576521487713195,1,"PER3ACRY1CGCG"
"92",0.7318766415859,1,"PER3ACRY2CCGG"
"93",0.311610589136211,1,"PER3ACRY2CCAA"
"94",1,1,"PER3ACRY2GGAA"
"95",0.262725434909839,1,"PER3ACRY2CGGG"
"96",0.712750169445392,1,"PER3ACRY2CGAA"
"97",1,1,"PER3ACRY2CGAG"
"98",0.599022323638903,1,"PER3AVNTRCCBB"
"99",0.559960364253103,1,"PER3AVNTRCCAB"
"100",1,1,"PER3AVNTRGGAA"
"101",0.235370720802116,1,"PER3AVNTRCGAA"
"102",0.138574473123372,1,"PER3AVNTRCGBB"
"103",0.712750169445392,1,"PER3AVNTRCGAB"
"104",0.472530276242449,1,"PER3BPER3CGGGG"
"105",0.742274559345266,1,"PER3BPER3CGGGT"
"106",1,1,"PER3BPER3CAATT"
"107",0.65261659947532,1,"PER3BPER3CAGGG"
"108",0.611676768954452,1,"PER3BPER3CAGTT"
"109",0.673355906969331,1,"PER3BPER3CAGGT"
"110",0.45582628852104,1,"PER3BCLOCK3111GGCC"
"111",0.276248199988857,1,"PER3BCLOCK3111GGTC"
"112",1,1,"PER3BCLOCK3111AATC"
"113",0.125587125033024,1,"PER3BCLOCK3111AGTT"
"114",0.215912631298503,1,"PER3BCLOCK3111AGTC"
"115",0.348502185842051,1,"PER3BCRY1GGCC"
"116",0.627788590653947,1,"PER3BCRY1GGGG"
"117",1,1,"PER3BCRY1AAGG"
"118",0.673355906969331,1,"PER3BCRY1AGCC"
"119",0.576521487713195,1,"PER3BCRY1AGGG"
"120",0.298948757697959,1,"PER3BCRY1AGCG"
"121",0.233084114613454,1,"PER3BCRY2GGGG"
"122",0.223454759320146,1,"PER3BCRY2GGAA"
"123",1,1,"PER3BCRY2AAGG"
"124",0.364654043777231,1,"PER3BCRY2AGGG"
"125",0.770560768608178,1,"PER3BCRY2AGAA"
"126",0.750105485683733,1,"PER3BCRY2AGAG"
"127",0.194611153029588,1,"PER3BVNTRGGBB"
"128",0.662315776871786,1,"PER3BVNTRGGAB"
"129",1,1,"PER3BVNTRAAAA"
"130",0.437257345320614,1,"PER3BVNTRAGAA"
"131",1,1,"PER3BVNTRAGBB"
"132",1,1,"PER3BVNTRAGAB"
"133",1,1,"PER3CCLOCK3111GGTT"
"134",1,1,"PER3CCLOCK3111GGCC"
"135",0.175950057853191,1,"PER3CCLOCK3111GGTC"
"136",0.364654043777231,1,"PER3CCLOCK3111TTCC"
"137",1,1,"PER3CCLOCK3111TTTC"
"138",0.522557866180525,1,"PER3CCLOCK3111GTTT"
"139",0.505911607298614,1,"PER3CCLOCK3111GTCC"
"140",0.142666654475662,1,"PER3CCLOCK3111GTTC"
"141",0.157882977274687,1,"PER3CCRY1GGCC"
"142",1,1,"PER3CCRY1GGGG"
"143",0.770560768608178,1,"PER3CCRY1GGCG"
"144",0.0351092249800469,1,"PER3CCRY1TTCC"
"145",0.336476450857649,1,"PER3CCRY1TTGG"
"146",0.750105485683733,1,"PER3CCRY1GTCC"
"147",0.770560768608178,1,"PER3CCRY1GTGG"
"148",1,1,"PER3CCRY1GTCG"
"149",1,1,"PER3CCRY2GGGG"
"150",0.378738765072792,1,"PER3CCRY2GGAA"
"151",0.813669982017162,1,"PER3CCRY2GGAG"
"152",0.826858749919775,1,"PER3CCRY2TTGG"
"153",0.706785263737516,1,"PER3CCRY2TTAA"
"154",0.115038001090976,1,"PER3CCRY2GTGG"
"155",0.326894119451822,1,"PER3CCRY2GTAA"
"156",0.0657378436642144,1,"PER3CCRY2GTAG"
"157",0.330970590607116,1,"PER3CVNTRGGAA"
"158",0.673355906969331,1,"PER3CVNTRGGBB"
"159",0.628015991310451,1,"PER3CVNTRGGAB"
"160",0.712750169445392,1,"PER3CVNTRTTBB"
"161",0.0545438557157944,1,"PER3CVNTRTTAB"
"162",0.851297912631298,1,"PER3CVNTRGTAA"
"163",0.0185716296202723,1,"PER3CVNTRGTBB"
"164",0.115038001090976,1,"PER3CVNTRGTAB"
"165",0.193504539106163,1,"CLOCK3111CRY1TTCC"
"166",1,1,"CLOCK3111CRY1TTGG"
"167",1,1,"CLOCK3111CRY1CCCC"
"168",1,1,"CLOCK3111CRY1CCGG"
"169",0.180076487355248,1,"CLOCK3111CRY1CCCG"
"170",0.765483609641658,1,"CLOCK3111CRY1TCCC"
"171",0.164274464493687,1,"CLOCK3111CRY1TCGG"
"172",0.239961702445014,1,"CLOCK3111CRY1TCCG"
"173",1,1,"CLOCK3111CRY2TTGG"
"174",0.336476450857649,1,"CLOCK3111CRY2TTAA"
"175",1,1,"CLOCK3111CRY2CCGG"
"176",1,1,"CLOCK3111CRY2CCAA"
"177",0.180076487355248,1,"CLOCK3111CRY2CCAG"
"178",0.186328538182792,1,"CLOCK3111CRY2TCGG"
"179",0.628015991310451,1,"CLOCK3111CRY2TCAA"
"180",0.553829335779606,1,"CLOCK3111CRY2TCAG"
"181",0.105133567624728,1,"CLOCK3111VNTRTTBB"
"182",1,1,"CLOCK3111VNTRTTAB"
"183",0.298948757697959,1,"CLOCK3111VNTRCCAA"
